# Time-averaged data for fix Output1
# TimeStep Number-of-rows
# Row c_RDF1[1] c_RDF1[2] c_RDF1[3]
0 100
1 0.024 0 0
2 0.072 0 0
3 0.12 0.0081996 6.00709e-06
4 0.168 0.0021053 9.01063e-06
5 0.216 0.00638494 2.40284e-05
6 0.264 0.00856002 5.40638e-05
7 0.312 0.00674692 8.71028e-05
8 0.36 0.00737479 0.000135159
9 0.408 0.00682041 0.000192227
10 0.456 0.00661112 0.000261308
11 0.504 0.0084721 0.000369436
12 0.552 0.00843712 0.000498588
13 0.6 0.0106298 0.000690815
14 0.648 0.0122469 0.00094912
15 0.696 0.0124683 0.00125248
16 0.744 0.0143692 0.00165195
17 0.792 0.0138249 0.00208746
18 0.84 0.0161048 0.00265814
19 0.888 0.016004 0.00329188
20 0.936 0.016931 0.00403676
21 0.984 0.0174201 0.00488376
22 1.032 0.0191511 0.00590797
23 1.08 0.0195382 0.00705232
24 1.128 0.0202145 0.00834385
25 1.176 0.0195497 0.00970145
26 1.224 0.0229576 0.0114285
27 1.272 0.023513 0.0133387
28 1.32 0.0248897 0.0155163
29 1.368 0.0246762 0.017835
30 1.416 0.0268505 0.0205382
31 1.464 0.0252025 0.0232504
32 1.512 0.0270295 0.0263531
33 1.56 0.0287348 0.0298642
34 1.608 0.0286414 0.0335826
35 1.656 0.0286412 0.0375263
36 1.704 0.0314799 0.0421157
37 1.752 0.031026 0.0468973
38 1.8 0.0328829 0.0522467
39 1.848 0.0340347 0.0580825
40 1.896 0.03448 0.0643059
41 1.944 0.0341122 0.0707785
42 1.992 0.0363475 0.0780201
43 2.04 0.0360372 0.0855499
44 2.088 0.0367047 0.0935844
45 2.136 0.0389678 0.102511
46 2.184 0.0403089 0.112164
47 2.232 0.0395185 0.122049
48 2.28 0.0418883 0.132982
49 2.328 0.0417242 0.144335
50 2.376 0.0425563 0.156398
51 2.424 0.043718 0.169295
52 2.472 24.4476 7.67002
53 2.52 0.0453774 7.68449
54 2.568 0.0463096 7.69983
55 2.616 0.0478514 7.71627
56 2.664 0.04723 7.7331
57 2.712 0.0499001 7.75152
58 2.76 0.0501036 7.77069
59 2.808 0.0519106 7.79124
60 2.856 13.6621 13.3862
61 2.904 0.0518693 13.4082
62 2.952 0.0524617 13.4312
63 3 0.0538607 13.4555
64 3.048 0.0547663 13.481
65 3.096 0.0554592 13.5077
66 3.144 0.0558909 13.5355
67 3.192 0.0580332 13.5652
68 3.24 0.058965 13.5962
69 3.288 0.05932 13.6284
70 3.336 0.0600765 13.662
71 3.384 0.0612314 13.6972
72 3.432 0.0612575 13.7334
73 3.48 0.0631607 13.7718
74 3.528 0.0632273 13.8113
75 3.576 0.0646196 13.8528
76 3.624 0.064149 13.8951
77 3.672 0.0664094 13.9401
78 3.72 0.0667775 13.9865
79 3.768 0.0680912 14.035
80 3.816 0.0690306 14.0855
81 3.864 0.0698265 14.1378
82 3.912 0.0695582 14.1913
83 3.96 0.0714986 14.2476
84 4.008 0.0721835 14.3058
85 4.056 13.2739 25.2695
86 4.104 0.0736553 25.3318
87 4.152 0.0750298 25.3967
88 4.2 0.0760649 25.4641
89 4.248 0.0764243 25.5333
90 4.296 0.076444 25.6041
91 4.344 0.0785112 25.6785
92 4.392 0.0798625 25.7559
93 4.44 0.0792922 25.8343
94 4.488 0.0795357 25.9148
95 4.536 0.0809084 25.9984
96 4.584 0.0819617 26.0848
97 4.632 0.0828454 26.1741
98 4.68 0.0833481 26.2657
99 4.728 0.0848624 26.361
100 4.776 18.8631 47.9633
