# Time-averaged data for fix Output2
# TimeStep Number-of-rows
# Row c_RDF2[1] c_RDF2[2] c_RDF2[3]
0 100
1 0.024 0 0
2 0.072 0 0
3 0.12 0 0
4 0.168 0 0
5 0.216 0.0312985 1.50177e-06
6 0.264 0 1.50177e-06
7 0.312 0 1.50177e-06
8 0.36 0 1.50177e-06
9 0.408 0.00879821 3.00354e-06
10 0.456 0 3.00354e-06
11 0.504 0.00576801 4.50532e-06
12 0.552 0.0240455 1.20142e-05
13 0.6 0.0122124 1.65195e-05
14 0.648 0.0244323 2.70319e-05
15 0.696 0.0121028 3.3039e-05
16 0.744 0.018536 4.35514e-05
17 0.792 0.016358 5.40638e-05
18 0.84 0.00623246 5.85691e-05
19 0.888 0.0167312 7.20851e-05
20 0.936 0.0200793 9.01063e-05
21 0.984 0.00757023 9.76152e-05
22 1.032 0.011012 0.000109629
23 1.08 0.011312 0.000123145
24 1.128 0.0184354 0.000147174
25 1.176 0.0233218 0.000180213
26 1.224 0.0176145 0.000207245
27 1.272 0.0262777 0.000250796
28 1.32 0.0159872 0.00027933
29 1.368 0.0336874 0.000343906
30 1.416 0.0226678 0.000390461
31 1.464 0.0348871 0.000467051
32 1.512 0.032066 0.00054214
33 1.56 0.0253035 0.000605214
34 1.608 0.0283518 0.000680303
35 1.656 0.0288707 0.000761398
36 1.704 0.0343365 0.000863519
37 1.752 0.0305703 0.000959632
38 1.8 0.0289617 0.00105575
39 1.848 0.0330581 0.00117138
40 1.896 0.0281426 0.001275
41 1.944 0.0310378 0.00139515
42 1.992 0.0362111 0.00154232
43 2.04 0.0352318 0.0016925
44 2.088 0.0309402 0.00183066
45 2.136 0.0356712 0.00199736
46 2.184 0.0359649 0.00217306
47 2.232 0.0379664 0.00236679
48 2.28 0.0397694 0.00257854
49 2.328 0.0411223 0.00280681
50 2.376 0.0420749 0.0030501
51 2.424 0.0401755 0.00329188
52 2.472 24.4826 0.156527
53 2.52 0.0440996 0.156814
54 2.568 0.0509153 0.157157
55 2.616 0.046493 0.157483
56 2.664 0.0444195 0.157806
57 2.712 0.0480443 0.158168
58 2.76 0.0483125 0.158545
59 2.808 0.0487205 0.158939
60 2.856 13.6508 0.272983
61 2.904 0.050247 0.273417
62 2.952 0.0580486 0.273935
63 3 0.0506668 0.274402
64 3.048 0.0536606 0.274913
65 3.096 0.0579754 0.275482
66 3.144 0.0578504 0.276068
67 3.192 0.0614482 0.276709
68 3.24 0.0562888 0.277314
69 3.288 0.0594043 0.277972
70 3.336 0.0554674 0.278604
71 3.384 0.0617155 0.279328
72 3.432 0.0590054 0.28004
73 3.48 0.0605369 0.280791
74 3.528 0.0627883 0.281591
75 3.576 0.0654711 0.282449
76 3.624 0.0653113 0.283327
77 3.672 0.06318 0.2842
78 3.72 0.0691889 0.285181
79 3.768 0.066921 0.286154
80 3.816 0.0693764 0.287188
81 3.864 0.0669761 0.288213
82 3.912 0.0699415 0.289309
83 3.96 0.0679757 0.290401
84 4.008 0.0696433 0.291547
85 4.056 13.2922 0.515515
86 4.104 0.07391 0.51679
87 4.152 0.0711904 0.518047
88 4.2 0.0718167 0.519344
89 4.248 0.0749156 0.520729
90 4.296 0.0733304 0.522115
91 4.344 0.0746714 0.523558
92 4.392 0.0808015 0.525155
93 4.44 0.0807002 0.526784
94 4.488 0.0821135 0.528478
95 4.536 0.0813825 0.530193
96 4.584 0.0818503 0.531955
97 4.632 0.0811878 0.533739
98 4.68 0.0802673 0.535539
99 4.728 0.0862546 0.537514
100 4.776 18.8666 0.978286
