# Time-averaged data for fix Output3
# TimeStep Number-of-rows
# Row c_RDF3[1] c_RDF3[2] c_RDF3[3]
0 100
1 0.024 0 0
2 0.072 0 0
3 0.12 0 0
4 0.168 0 0
5 0.216 0 0
6 0.264 0 0
7 0.312 0 0
8 0.36 0 0
9 0.408 0 0
10 0.456 0 0
11 0.504 0 0
12 0.552 0 0
13 0.6 0 0
14 0.648 0 0
15 0.696 0 0
16 0.744 0 0
17 0.792 0 0
18 0.84 0 0
19 0.888 0 0
20 0.936 0 0
21 0.984 0 0
22 1.032 0 0
23 1.08 0 0
24 1.128 0 0
25 1.176 0 0
26 1.224 0 0
27 1.272 0.0888423 0.000147232
28 1.32 0 0.000147232
29 1.368 0 0.000147232
30 1.416 0.0716931 0.000294464
31 1.464 0 0.000294464
32 1.512 0 0.000294464
33 1.56 0.0590693 0.000441696
34 1.608 0 0.000441696
35 1.656 0.0524197 0.000588928
36 1.704 0.0495083 0.00073616
37 1.752 0.0936656 0.00103062
38 1.8 0.088737 0.00132509
39 1.848 0.0420937 0.00147232
40 1.896 0 0.00147232
41 1.944 0 0.00147232
42 1.992 0 0.00147232
43 2.04 0.0345434 0.00161955
44 2.088 0.0329735 0.00176678
45 2.136 0.0315083 0.00191402
46 2.184 0 0.00191402
47 2.232 0.0577126 0.00220848
48 2.28 0.0276541 0.00235571
49 2.328 0.0265255 0.00250294
50 2.376 0.076394 0.00294464
51 2.424 0.0733985 0.00338634
52 2.472 23.6194 0.151207
53 2.52 0 0.151207
54 2.568 0.0653979 0.151649
55 2.616 0 0.151649
56 2.664 0.0607696 0.152091
57 2.712 0.0977293 0.152827
58 2.76 0.0377439 0.153121
59 2.808 0.0182323 0.153269
60 2.856 14.4169 0.273704
61 2.904 0.0852339 0.274441
62 2.952 0.0989816 0.275324
63 3 0.0319465 0.275618
64 3.048 0.0309483 0.275913
65 3.096 0.104986 0.276943
66 3.144 0.0581744 0.277532
67 3.192 0.0705475 0.278269
68 3.24 0.0821673 0.279152
69 3.288 0.0398929 0.279594
70 3.336 0.0775063 0.280477
71 3.384 0.0627693 0.281213
72 3.432 0.073231 0.282097
73 3.48 0.0474832 0.282686
74 3.528 0.0923999 0.283863
75 3.576 0.05621 0.2846
76 3.624 0.109462 0.286072
77 3.672 0.0746332 0.287102
78 3.72 0.0415541 0.287691
79 3.768 0.0506277 0.288428
80 3.816 0.0197448 0.288722
81 3.864 0.105915 0.290342
82 3.912 0.0845444 0.291667
83 3.96 0.0550049 0.29255
84 4.008 0.0984414 0.29417
85 4.056 13.1167 0.515165
86 4.104 0.0768189 0.51649
87 4.152 0.0416962 0.517226
88 4.2 0.0733474 0.518551
89 4.248 0.0716992 0.519876
90 4.296 0.070106 0.521201
91 4.344 0.0761836 0.522674
92 4.392 0.0968857 0.524588
93 4.44 0.0875098 0.526355
94 4.488 0.0927853 0.528269
95 4.536 0.0698707 0.529741
96 4.584 0.0752567 0.53136
97 4.632 0.107207 0.533716
98 4.68 0.111583 0.536219
99 4.728 0.0771735 0.537986
100 4.776 19.2479 0.987633
